uid,age
332266,47
332298,51
332739,46
333071,50
333251,43
333350,42
333805,43
336005,50
336311,50
338535,46
338571,38
338689,45
339692,41
339926,53
350077,37
350103,54
350225,40
350306,40
350392,40
350603,38
350617,53
350897,55
351099,41
351116,44
351198,64
351350,45
352151,41
353097,37
353628,46
353790,37
355298,42
355568,44
355996,42
356292,33
356300,40
357971,48
358178,50
358385,40
359186,48
360030,46
360238,47
360797,53
360837,44
361020,52
361502,45
362998,52
363910,41
365152,49
365909,49
366570,49
366589,44
366872,45
366912,51
367173,30
367533,38
367600,44
368500,40
368758,55
369270,51
369801,43
370156,47
372816,55
375651,37
375728,46
375881,66
375886,48
376079,50
376155,43
376281,50
376916,52
377500,51
377505,50
378158,62
378860,48
378991,49
379102,53
379120,60
379198,39
379959,45
380137,40
380858,42
381055,40
381208,42
382829,43
383553,60
383562,55
383580,44
385303,49
385358,50
386569,35
387225,40
387581,48
387900,43
388369,49
390087,49
390190,43
390195,47
390573,46
392625,44
393066,44
393205,45
393327,50
393773,43
393818,36
395177,44
395500,53
395573,38
395578,53
395596,46
395636,38
395690,46
395703,40
395785,50
395839,37
395893,45
395906,40
396013,44
396077,46
396117,44
396158,36
396522,61
396586,38
396775,41
396888,47
396987,46
397076,47
397099,44
397198,41
397779,38
398098,41
398101,46
398318,36
398723,41
398728,42
398750,40
398791,40
398827,46
398877,43
398895,43
399010,38
399501,41
500025,34
500282,52
500539,42
501173,42
501196,37
501236,43
501786,45
501790,51
501808,39
501830,39
501966,50
501998,56
502005,53
502032,45
502113,40
502118,46
502122,39
502127,56
502163,53
502172,43
502299,38
503108,46
503388,41
503536,45
505025,34
505372,63
505511,51
506696,44
506902,42
507028,48
507389,65
507631,45
507807,47
507938,61
508086,40
508108,43
508635,41
508667,40
508711,50
508874,32
509292,38
509585,48
509599,36
509675,39
509788,40
509986,59
510079,43
510718,36
510795,42
512095,41
512883,46
512897,40
512950,52
512969,52
512982,61
513053,38
513193,44
513337,38
513355,32
513611,39
513620,37
513896,42
515150,47
515867,42
516569,45
518666,44
518986,63
521068,47
521199,53
521676,35
522715,53
523732,46
523778,51
523912,41
525163,48
526036,46
526108,43
526202,54
526586,47
527300,51
527715,43
528115,36
528228,43
528318,50
531026,35
531062,50
531571,51
532039,34
532219,38
532228,51
533777,46
533957,46
533970,37
535667,44
536193,41
536535,45
537615,41
538989,35
550688,48
551321,41
551687,42
552366,42
553013,49
553711,53
555133,39
555566,53
555917,62
556592,42
556600,41
556623,44
556812,47
557078,46
557717,39
558135,61
558158,51
558559,54
558761,63
558888,53
559265,43
562518,37
565998,47
566500,33
575979,39
578507,41
578516,42
580009,42
580180,51
580185,44
580266,54
580298,44
580301,73
580838,47
580851,51
580860,45
580900,54
582011,42
585220,35
587552,44
588380,40
589055,46
589069,48
589717,44
589780,39
589802,49
590099,51
590157,48
590166,41
590189,44
590369,43
590783,50
590963,48
591331,39
591728,49
591769,46
591822,36
591836,52
592736,64
593069,45
593131,41
593550,49
595319,37
595710,47
595828,41
595855,38
597222,38
597722,50
598000,46
598258,37
598825,54
598852,49
599068,39
599568,39
600533,53
600655,48
602527,44
606285,50
607937,48
608508,69
611121,43
611707,37
611900,38
613651,52
613688,39
615195,41
617076,56
618188,56
618886,42
619056,46
619083,46
619100,38
619119,57
619132,41
619358,50
619803,35
619830,46
621017,56
621670,53
621918,43
622250,41
622917,52
626611,43
627133,52
627962,46
629028,47
629889,46
631958,39
632650,54
633087,53
633221,47
635139,42
635292,46
635562,48
635666,46
635670,52
637137,38
637218,47
638131,46
638285,46
652135,49
652158,45
652699,38
655218,55
655371,42
656695,45
656758,46
657351,37
657798,35
663237,42
663336,54
663818,40
663872,42
663958,54
665073,34
665186,58
665785,61
666158,48
666333,57
667193,53
667369,46
669885,41
670266,39
670612,47
670856,57
670897,43
672007,61
672570,48
675897,37
677818,58
678001,45
678272,44
678510,56
678650,46
678998,51
679055,43
679172,53
680080,41
680256,39
681818,39
682010,47
685300,40
685986,52
685995,42
686205,39
687308,46
687592,44
689392,53
690700,47
691678,35
691952,40
691961,58
692050,55
692587,48
692708,46
693252,33
693338,43
693653,47
697730,54
697893,39
698072,41
698202,40
698702,38
698707,43
699283,46
699580,46
699652,46
699666,54
701581,44
703273,39
705609,40
705695,41
706536,37
706829,61
707111,38
707657,60
708660,37
710013,53
710892,36
712723,37
712787,52
712791,53
713880,44
716373,54
717665,53
717697,58
720233,35
720283,55
720292,49
720305,54
721269,49
721336,79
721593,52
721818,43
722001,47
722155,41
722286,41
722295,44
722385,54
723672,35
723929,45
725058,68
725116,43
725288,46
725805,41
726110,59
726377,50
727060,54
727353,54
727385,48
727515,44
728226,42
728528,38
728861,44
730197,41
730728,54
731187,46
731565,49
732019,44
732226,48
732311,49
732618,39
733199,52
733216,44
733897,45
733969,39
736218,46
736385,47
737262,41
737519,44
737997,60
738185,42
738883,59
738996,41
739026,64
739067,36
739332,42
739710,40
750339,36
751536,34
751716,49
751789,37
752238,34
755181,46
755898,56
757111,49
759321,33
760086,42
766058,54
767327,46
767359,42
768308,54
768312,46
768317,53
768565,53
769622,53
770693,46
771962,39
772862,38
772902,41
776093,34
776381,43
777772,46
778609,39
780511,44
781286,54
781682,39
782037,48
782618,46
782758,50
782820,33
783397,47
785610,52
785723,47
785935,39
786295,35
786939,38
786993,40
787389,32
787960,34
787992,44
788630,43
789319,41
789972,40
791082,42
791825,38
792018,48
792158,43
793756,40
793995,43
797702,42
798981,35
007sampras,42
801288,52
801387,48
802070,54
803236,54
806152,53
806878,52
807232,49
807381,34
807688,51
808056,43
808808,50
809096,45
810003,51
810576,51
810625,36
812083,45
812231,46
812858,39
812871,46
813136,46
816958,51
817079,42
818500,43
820363,37
820395,40
820660,39
820985,52
821191,40
821533,42
821565,44
821781,47
822019,46
822721,50
822875,38
822893,48
825016,43
826588,38
827087,50
827861,39
828257,38
829701,66
829869,45
830222,50
830678,38
830830,52
830957,48
830989,41
830993,37
832770,42
833139,64
838229,33
839007,36
839719,35
839958,41
850590,51
851193,43
852151,45
852980,39
853592,53
853803,42
853817,53
853899,50
855031,42
855077,56
857561,35
857778,68
857886,40
858029,42
858687,46
859159,53
859276,41
859659,60
860058,37
860085,40
860332,38
861318,44
862222,44
862259,41
862385,37
863636,46
863712,51
863735,14
866165,46
866967,47
867010,40
867150,23
867795,48
867902,38
869595,41
869608,59
869860,43
870002,45
870778,47
871119,42
871565,46
872717,56
872979,44
873310,48
873563,41
873635,50
873923,45
875250,52
875552,51
876010,46
876173,39
876191,44
876222,46
877802,41
877807,41
877861,47
879567,48
879922,39
880056,52
880335,50
880358,51
880696,43
880808,40
881519,38
881965,50
881983,54
882153,36
882289,54
882757,52
883265,46
883328,45
883567,45
883576,44
883607,46
883616,41
885038,45
886195,37
886370,27
886532,63
886686,43
886708,39
887086,48
887329,47
887801,53
887883,64
887900,38
887978,58
888607,53
888783,52
888788,49
888828,43
8893,52
890730,35
890852,53
891603,30
892319,47
892599,37
892602,46
893656,46
895186,37
895708,63
897026,45
898269,60
899236,65
900229,63
900567,50
900837,60
901728,45
902097,46
902196,49
903695,37
903893,44
905198,45
907583,41
908212,52
908735,46
909982,49
910020,58
910331,44
910688,27
910881,45
911191,48
911952,48
912005,38
912069,50
913608,45
913950,43
916295,60
918658,55
920759,60
920786,44
921267,44
921780,54
922793,63
923099,59
923788,35
925853,43
929890,43
930136,41
930316,43
930956,35
931095,74
935695,51
935906,39
936266,51
938363,61
938890,55
938895,47
938930,42
939321,47
939795,41
950256,40
951606,51
951985,40
953203,61
955210,47
955828,45
956926,55
957097,45
957222,31
957295,43
958122,48
958127,44
958221,41
958226,15
958307,41
959207,40
960061,56
960386,44
963559,40
963595,39
963725,46
965188,62
966268,47
967357,58
967988,45
967992,55
970001,54
972225,45
972252,50
973576,38
973797,42
975105,37
975259,53
975885,62
976230,47
977315,51
980398,57
981883,62
981969,37
982198,44
983359,44
985933,41
986838,64
987792,36
988589,36
989097,46
989362,30
989759,57
989907,52
990059,43
996986,38
997255,38
999127,40
1001136,42
1001267,39
100242986,48
1003800,46
1006988,60
1007978,38
1008111,47
1008553,48
1008558,43
1008710,43
1008828,37
1010230,41
1010807,39
1011009,37
1011770,49
1012288,53
1012382,43
1015578,42
1018061,49
1018516,29
1021850,39
1022395,48
1023317,37
1023330,45
1023533,46
1023619,43
1023916,27
1025068,47
1028119,45
1028989,49
1030558,49
1030706,39
1031318,42
1032371,46
1032583,39
1032795,59
1033776,38
1035760,49
1036566,51
1036638,50
1036705,44
